名称,悬赏标签,预估价,预估工时,参与人数,发布日期,detail_url,技能要求
反向BOM,技术难题,1000,4天,1,2022-06-18 14:51:17,https://zb.oschina.net/reward/detail?id=11541902,<p>反向BOM。</p><p>单机运行，win10，java等 均可</p><p><br></p><p>不知道商品与物料对应关系，有商品表，物料使用表，求商品BOM清单</p><p>商品表：月份\商品ID\商品名称\生成数量\物料成本</p><p>物料使用表：月份\物料ID\数量（有的物料是整数使用，有的是小数使用）</p><p>物料清单：物料ID\物料\物料单价\物料分类\属性等</p><p><br></p><p>前提：</p><p>1、当月生产的商品数量与当月使用的物料种类数量应该完全一致，实际上很可能不一致。所有可能无法实现当月所有商品与所有物料做到绝对匹配。</p><p>2、生成同一商品所需的物料种类固定、数量固定。例如生成1把椅子，需要2个木腿，1个面，10个钉子。&nbsp;2把椅子就是4个木腿，2个面，20个钉子</p><p>3、同一商品，各月领用的物料一致，物料数量与商品生产数量的对应关系一致。</p><p>4、商品与物料的关系，也不是完全未知。例如，</p><p>&nbsp;a每个商品至少需要4个物料，</p><p>&nbsp;b某些商品需要到特定类型的物料，</p><p>&nbsp;c某些类型的物料成本在商品成本中的占比肯定是最高的</p><p>&nbsp;d如果商品使用了某种类似的物料，那么这种物料成本占比只能是13%-15%之间</p><p>等</p><p><br></p><p>思路：</p><p>1、这个需求本质是“凑数”。最终答案可能大于1，或无结果。</p><p>2、调整凑数的数量直接影响结果。例如某月生产10个商品，可能无法得到10份完全匹配的清单。如果要求匹配7份清单，也许就有结果了。</p><p><br></p><p>3、考虑到 前提的1、2、3。同样是椅子，其1月、2月、3月三份清单的物料可能会不一样，相差已经不大了。</p>
PC网页模板开发,技术难题,500,2天,14,2022-06-10 19:03:46,https://zb.oschina.net/reward/detail?id=14541704,<p>根据原型图写出前台HTML+JS代码。一共17个页面，不复杂。详细需求请联系我</p>
Unity游戏二次开发（找个人）,其他悬赏,100,30天,3,2022-06-10 16:55:36,https://zb.oschina.net/reward/detail?id=13541725,<p>前端Unity 后端c#开发的 需要增加一些功能</p><p>第一需要对接Amazon GameLift https://aws.amazon.com/cn/gamelift/</p><p>第二需要对接腾讯云语音 https://intl.cloud.tencent.com/zh/document/product/607/10783</p><p>第三增改动游戏的一些小功能 然后对接我们的道具交易平台（5个API接口）</p><p><br></p><p>只找个人开发者，有兴趣的留下联系方式我联系你们谈具体需求</p><p>了解需求报价</p>
交易所公告列表的最新消息 微信推送,其他悬赏,100,30天,4,2022-06-10 16:13:28,https://zb.oschina.net/reward/detail?id=16541618,"<p>需求：交易所公告列表的最新消息通知，<span style=""color: rgb(34, 34, 34);"">通过（server酱）服务实现微信推送。</span></p><p><br></p><p>币安 https://www.binance.com/zh-CN/support/announcement/c-93?navId=93</p><p><br></p><p>抹茶 https://support.mexc.com/hc/zh-cn/sections/360000547811-%E6%96%B0%E5%B8%81%E4%B8%8A%E6%96%B0</p><p><br></p><p>等交易所的公告列表通用规则</p><p><br></p><p>最好是脚本或者执行文件可以一直挂着，有新消息即时通知。</p><p><br></p><p><span style=""color: rgb(34, 34, 34);"">server酱推送服务：</span>https://sct.ftqq.com</p><p><br></p><p>写的很清楚，时间不限，中间商勿扰</p>"
自动拼图实现可用面积的最大化利用,技术难题,100,30天,1,2022-06-10 12:29:55,https://zb.oschina.net/reward/detail?id=18541688,<p>输入：</p><p>1、提供指定长宽尺寸的图片作为底板；</p><p>2、提供不同尺寸形状图案作为裁剪目标图案；</p><p>3、指定不同尺寸图案间最小间隙尺寸；</p><p><br></p><p>输出：</p><p>要求按照以上条件完成拼装组合，尽可能最大化利用底板面积，可以输出多种组合方案，要求能标注出相应图案坐标点位，各图案数目。</p><p><br></p><p>详情可联系具体交流，价格可协商。</p><p><br></p><p><br></p>
SnmpV3 Agent 示例编写,技术难题,1000,7天,2,2022-06-09 19:57:58,https://zb.oschina.net/reward/detail?id=15541657,"<p>java 实现Snmp V3 Agent&nbsp;要求能通过附件里的脚本测试</p><p><br></p><p>随便agent 返回什么内容，最主要是保证agent 正常接收， 正常响应.</p><p><br></p><p>需要实现get , set,  table  </p><p><br></p><p><br></p><p>=========================</p><p><br></p><p>脚本在linux下执行，  解压  打开  nma/bin/run-snmptable.sh ,   修改  ip=""改成agent 的 ip"" ，  agent 端口使用161</p><p><br></p><p><br></p><p><br></p>"
LOGO设计,广告设计,100,5天,1,2022-06-08 11:33:17,https://zb.oschina.net/reward/detail?id=13541486,<p>360航空软包需要升级品牌，全新品牌名称珺宏，主推产品设计为平面打线的。设计需要新颖个性。能体现产品性能，需要车子LOGO和珺宏中英文字样</p>
使用Matlab 编写 梯度自适应格型算法，盲自适应算法,技术难题,300,5天,0,2022-06-06 09:37:05,https://zb.oschina.net/reward/detail?id=11541422,<p>提供Matlab源代码，代码需满足附件要求</p>
Android离线编译环境搭建,技术难题,1000,30天,3,2022-06-05 10:42:31,https://zb.oschina.net/reward/detail?id=14541513,<p>需要GitLab+Docker Android离线编译环境搭建，请提供Dockerfile和相关文件下载地址（限官方平台和各大国境内镜像源），Docker bulid和Android项目编译时不再联网。</p>
Redmine插件,技术难题,500,30天,0,2022-06-05 10:35:07,https://zb.oschina.net/reward/detail?id=19541536,"<p>开发一款用于Redmine 5.0 的插件，实现以下功能。</p><ol><li>在项目菜单中增加“新建发布”菜单和“发布（列表）”菜单。</li><li>新建发布页面：项目名、型号、规格、版本、工具版本、功能变更、修复问题、已知缺陷、文件清单、指派给。（<span style=""color: rgb(34, 34, 34);"">功能变更、修复问题、已知缺陷可关联到issues</span>）</li><li>新建发布后自动使用上述信息创建一个指定类型的issue，指派给对应人员。</li><li>issue解决后，执行一个配置的bat脚本移动文件清单中的文件，成功后<span style=""color: rgb(34, 34, 34);"">自动发送配置的邮件</span>。</li><li>在插件配置页可配置<span style=""color: rgb(34, 34, 34);"">bat脚本、邮件内容，可引用发布页面的内容。</span></li></ol>"
