117.28.218.154:46423,福建|福州,350103,265
119.115.96.62:35768,辽宁|葫芦岛,211481,122
113.229.175.168:50774,辽宁|鞍山,210381,293
171.83.238.81:45977,湖北|黄冈,421100,296
118.255.135.35:34890,湖南|郴州,431002,153
218.104.249.59:45335,福建|泉州,350526,126
60.167.23.107:52813,安徽|芜湖,340202,217
123.96.5.236:42853,浙江|舟山,330900,206
115.210.20.192:35018,浙江|金华,330700,240
114.231.41.190:41305,江苏|南通,320600,163
218.6.106.7:52622,福建|莆田,350300,192
182.34.32.159:31904,山东|烟台,370602,128
117.89.122.116:43111,江苏|南京,320113,126
113.206.143.181:35153,重庆|重庆,500107,175
115.209.111.65:33242,浙江|舟山,330902,136
175.151.106.230:60219,辽宁|铁岭,211200,181
122.239.156.16:30326,浙江|温州,330382,218
220.160.229.51:35327,福建|南平,350703,243
